City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
mataura,NZ,-46.19,168.86,39.00200000000008,83,100,1.34
beringovskiy,RU,63.05,179.32,52.141999999999996,82,99,2.36
coquimbo,CL,-29.95,-71.34,50.0,93,48,2.1
vestmannaeyjar,IS,63.44,-20.27,50.0,76,40,11.3
cape town,ZA,-33.93,18.42,59.0,43,0,2.6
constitucion,CL,-35.33,-72.42,53.87000000000006,88,100,6.64
korla,CN,41.76,86.15,94.24400000000009,14,7,2.53
erzin,TR,36.96,36.2,82.00400000000005,81,80,7.15
semey,KZ,50.41,80.23,95.0,17,36,6.0
cidreira,BR,-30.18,-50.21,54.89600000000005,94,100,1.2
port hedland,AU,-20.32,118.57,80.6,22,0,5.7
hobart,AU,-42.88,147.33,46.4,81,20,1.9
la ronge,CA,55.1,-105.28,55.400000000000006,87,40,1.0
severo-kurilsk,RU,50.68,156.12,52.772000000000034,89,59,0.52
touros,BR,-5.2,-35.46,69.80000000000001,100,75,2.1
wuwei,CN,37.93,102.64,80.58200000000002,27,100,5.51
batemans bay,AU,-35.72,150.18,53.00600000000003,78,0,2.65
ribeira grande,PT,38.52,-28.7,68.0,77,75,3.6
hilo,US,19.73,-155.09,78.80000000000001,78,90,1.03
altamira,BR,-3.2,-52.21,69.13399999999999,97,90,0.65
torbay,CA,47.67,-52.73,50.0,100,90,9.8
lermontovka,RU,47.15,134.34,85.80200000000008,59,69,3.02
atasu,KZ,48.68,71.64,90.14000000000001,22,12,5.73
diamantino,BR,-14.41,-56.45,66.47000000000006,43,0,1.86
castro,BR,-24.79,-50.01,55.346000000000046,92,90,2.58
busselton,AU,-33.65,115.33,57.00200000000008,45,0,6.37
punta arenas,CL,-53.15,-70.92,24.8,92,21,1.5
thompson,CA,55.74,-97.86,53.6,93,20,2.6
ilulissat,GL,69.22,-51.1,46.4,70,100,0.5
olafsvik,IS,64.89,-23.71,45.91400000000003,81,100,14.4
maravilha,BR,-26.76,-53.17,62.00600000000003,84,26,1.26
shelburne,CA,44.08,-80.2,68.0,94,90,2.1
